section,metric,value
overall,fraud_rate_pct,0.12908204481801522
overall,fraud_transactions,8213.0
overall,total_transactions,6362620.0
fraud_by_type,TRANSFER,0.7687991758442811
fraud_by_type,CASH_OUT,0.18395530726256984
fraud_by_type,PAYMENT,0.0
fraud_by_type,CASH_IN,0.0
fraud_by_type,DEBIT,0.0
amount,fraud_mean,1467967.299140387
amount,fraud_median,441423.44
amount,fraud_p95,8006429.04
amount,non_fraud_mean,178197.04172740778
amount,non_fraud_median,74684.72
amount,non_fraud_p95,515610.4229999998
zero_balance,pct_fraud_sender_zero,98.05186898818945
zero_balance,pct_fraud_receiver_zero,49.811274808230856
conditional,P(fraud|drain>75th),0.0016974139584007846
conditional,P(fraud|drain>90th),0.0029861912231124916
conditional,P(fraud|drain>95th),0.00502937469155788
conditional,P(fraud|drain>99th),0.020431577789303282
bayes,p_fraud,0.12908204481801522
bayes,p_r01_given_fraud,80.94484354072812
bayes,p_r01,31.9289852293552
bayes,p_fraud_given_r01,0.3272426557454517
